type1,type2,value
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,19,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,20.207047781033253
1,11,0.0
1,19,0.0
2,3,0.0
2,4,0.0
2,5,8.61097896235173
2,6,1.2412968710731662
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,19,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,19,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,19,0.0
5,6,6.474083694624578e-05
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,19,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,19,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,19,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,19,0.0
9,10,0.0
9,11,0.0
9,19,0.0
10,11,0.0
10,19,0.0
11,19,0.0
