type1,type2,value
0,1,0.0
0,2,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.006750845157087315
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,2.2719713067618477
1,2,12.329988616897511
1,5,2.8568612877041075
1,6,0.0
1,7,0.08324622655072038
1,8,109.63382045426619
1,9,4.680004257478103
1,10,0.0
1,11,1.3308957611253158
1,12,0.0117170852753819
1,13,0.0
2,5,32.53907828724713
2,6,0.0
2,7,0.4789248195817031
2,8,168.6738246204263
2,9,98.76037206148268
2,10,0.25280012079613595
2,11,1.3220374669476609
2,12,0.013373575292713574
2,13,0.0
5,6,0.0
5,7,0.6148655225319006
5,8,90.7417561827181
5,9,21.33334037767371
5,10,0.06523446146279126
5,11,0.3017188495223319
5,12,0.0011681824270501477
5,13,0.0
6,7,0.0
6,8,0.0
6,9,0.004726029175404664
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
7,8,0.5300003076876189
7,9,0.7463085516363998
7,10,0.08256802968122276
7,11,0.05749978110770708
7,12,0.0
7,13,0.0
8,9,44.36926809032302
8,10,0.14149729816954623
8,11,7.082648732313468
8,12,0.0
8,13,0.0
9,10,3.3374589594494144
9,11,0.008456730416775244
9,12,0.010815760172120848
9,13,0.0
10,11,0.0012619984302049574
10,12,0.0
10,13,0.0
11,12,0.0
11,13,0.0
12,13,0.0
