type1,type2,value
32,771,0.0
32,491,10.408043541084675
32,1199,2.457987421383648
32,528,0.0
32,1521,0.0
32,2133,0.7719298245614036
32,214,0.0
771,491,0.0
771,1199,1.3222222222222222
771,528,1.3909090909090909
771,1521,5.016621253405994
771,2133,0.0
771,214,0.85
491,1199,0.0
491,528,0.0
491,1521,0.0
491,2133,1.5030303030303032
491,214,0.0
1199,528,31.8484180747749
1199,1521,30.215426737127203
1199,2133,65.20499845285501
1199,214,3.064649290103836
528,1521,39.921787302529914
528,2133,0.00463768115942029
528,214,0.9411764705882353
1521,2133,6.4974891698040995
1521,214,0.0
2133,214,0.0
